space_id,lead_time,+1 standard,-1 standard,weekday1 timegroup1 acc,weekday1 timegroup2 acc,weekday1 timegroup3 acc,weekday1 timegroup4 acc,weekday2 timegroup1 acc,weekday2 timegroup2 acc,weekday2 timegroup3 acc,weekday2 timegroup4 acc,weekday3 timegroup1 acc,weekday3 timegroup2 acc,weekday3 timegroup3 acc,weekday3 timegroup4 acc,weekday4 timegroup1 acc,weekday4 timegroup2 acc,weekday4 timegroup3 acc,weekday4 timegroup4 acc,weekday5 timegroup1 acc,weekday5 timegroup2 acc,weekday5 timegroup3 acc,weekday5 timegroup4 acc,weekday6 timegroup1 acc,weekday6 timegroup2 acc,weekday6 timegroup3 acc,weekday6 timegroup4 acc,weekday7 timegroup1 acc,weekday7 timegroup2 acc,weekday7 timegroup3 acc,weekday7 timegroup4 acc
21,341.9630172683231,1915.0983029819208,-1915.0983029819208,0.04400251003046008,0.07189319110648948,0.11532950990718827,0.17992162648390647,0.04270542689457966,0.06983401742400291,0.11217659826581435,0.17535288824800552,0.04144492092839236,0.06782951243563153,0.10909925208049685,0.17087599044662255,0.04022005726636125,0.06587846942756913,0.10609623844977348,0.16649031529128674,0.03902991928201789,0.06397969429133914,0.1031663123584579,0.16219518250930828,0.04297546970818228,0.0702630137987034,0.11283415550952058,0.17630723162462886,0.041707340344000574,0.06824709844158201,0.10974100024192794,0.1718110450362215
22,475.62537761601453,2375.2480794175294,-2375.2480794175294,0.030321103108537088,0.06844382622969054,0.14722104159301658,0.2885806758781138,0.0296116077600316,0.06690383002962744,0.14418288737755827,0.28359545342926223,0.02891821906517931,0.06539605150151503,0.1411970495999035,0.2786626175531989,0.02824059431745604,0.0639199252949975,0.13826305508870848,0.273782792981337,0.02757839703686585,0.06247489108417924,0.135380416611403,0.2689565598527508,0.02429495143209938,0.05527287400051733,0.12085737990185509,0.24415038553939378,0.023723014621714122,0.05401204375997814,0.11828781862942649,0.2396741168023491
23,519.2642745478039,2223.4192887477557,-2223.4192887477557,0.05773673719048697,0.10169528723277395,0.17297816836360894,0.2787233548615014,0.058135518098972536,0.10236470070929311,0.17402590329375497,0.2801945902687382,0.05853688223129702,0.10303801519697905,0.175078640922418,0.2816705588535936,0.05894084395178037,0.1037152467656093,0.17613638886430452,0.2831512439074373,0.0593474176717051,0.10439641146215427,0.17719915453803306,0.2846366283620992,0.046178296331462185,0.08210348603894554,0.14182166899904944,0.23390720365066517,0.04650118422779981,0.0826558020293646,0.14271325327973772,0.23521902403302405
24,484.9538040513446,2203.1426201816566,-2203.1426201816566,0.05350488969042041,0.09456482661447888,0.16174959809231518,0.2628118557206171,0.053876112951515134,0.09519227734675823,0.16274270465498455,0.2642298706603137,0.054249764179761656,0.09582345070204143,0.1637407176172116,0.2656527794718063,0.05462585720162448,0.09645836291038305,0.16474364659214782,0.2670805693568587,0.05500440589366384,0.09709703019391203,0.16575150102415526,0.26851322716781895,0.04275519052420544,0.07623015097602312,0.13229204938527137,0.21977457020488422,0.0430552237997168,0.07674626012361496,0.13313301823004778,0.22102999838761272
25,451.804756871036,2351.876506652881,-2351.876506652881,0.044966715716708676,0.08002842005821532,0.13846497748374786,0.22895246614136627,0.045281534178402465,0.08056800218809276,0.1393388856991174,0.23024485031202996,0.04559845149440388,0.08111090162981362,0.14021741182277314,0.23154233897334425,0.045917480180045454,0.08165713444448665,0.14110056891877806,0.232844927588982,0.046238632804509745,0.08220671671201275,0.141988369940765,0.23415261131356255,0.03586742072853541,0.06431194507074534,0.11267796543725031,0.19003059054423285,0.0361209431605493,0.06475301927647752,0.11341054577630756,0.1911577388271662
31,604.5125605060502,2395.3109252600166,-2395.3109252600166,0.018305205388071764,0.042011216878416136,0.09349370702244994,0.1952095607713417,0.02017161562599733,0.046181002382276896,0.10222806306751728,0.21123215259206377,0.022224018124684657,0.05074273442205532,0.11167787352548904,0.22819696235552603,0.024480029228824775,0.055728744157485695,0.12188261941675398,0.2460991690339237,0.026958738974179913,0.06117310952242214,0.13288035541419985,0.2649237375941495,0.018256899380488998,0.04190302281981033,0.0932658349820928,0.19478704734148927,0.020118485245018223,0.04606258596454438,0.10198129770758167,0.21078404266628503
41,369.7905646019583,2265.784397003545,-2265.784397003545,0.033606021136270314,0.06783065650399475,0.1321439338548434,0.241629216138839,0.034089028811766245,0.06877055846461652,0.133847039789889,0.24434610708224858,0.03457873019222251,0.06972251013556029,0.13556866696031353,0.2470835938076233,0.03507521085918655,0.07068663888283688,0.13730892827499858,0.24984160940407413,0.035578557280667125,0.0716630726611877,0.13906793499103498,0.25262008144153913,0.030875429554119527,0.062499053775483475,0.12242108673408073,0.22594800414119443,0.031320463327715806,0.06337010018881792,0.12401678895709767,0.2285417104386928
51,475.30820073850305,1895.294448194244,-1895.294448194244,0.06954284522267694,0.12133266277798303,0.2032656370693802,0.3203541012219637,0.07001711026522614,0.12211376822764093,0.20445147228398183,0.32194699799535165,0.0704943646322259,0.12289919887240805,0.20564243996595255,0.3235440446580331,0.07097462381620004,0.12368896959747089,0.20683854151284176,0.3251452146539057,0.07145790334395005,0.12448309522000228,0.20803977805902862,0.3267504810688793,0.05576077977406775,0.09837197199361285,0.16776042195982133,0.27136250114632277,0.05614672620235627,0.09902192102859307,0.16878300274152758,0.272809578291915
62,424.8035334386515,2110.8315339008705,-2110.8315339008705,0.04772834666690769,0.08475227461014914,0.14609042678204537,0.24017198527749772,0.048061526703187245,0.08532075290772648,0.14700425029033135,0.24150786430397628,0.04839691438297355,0.08589268644551909,0.14792279973179648,0.24284879889543007,0.048734522679435795,0.08646809141560509,0.1488460871540086,0.244194781809705,0.049074364618772834,0.08704698402077506,0.1497741244749053,0.245545805479504,0.038092508107391856,0.06817684947698675,0.11907957660013381,0.19983712439635576,0.03836113239589744,0.06864248601546555,0.1198481557281157,0.20100800416373393
63,376.84199566795456,2099.0676483343777,-2099.0676483343777,0.05267274584488213,0.093156943295432,0.15951768803648955,0.2596173321501745,0.05303851912236395,0.09377602002701989,0.1604997149622947,0.2610242138875184,0.05340668922793273,0.09439878258760483,0.16148662589626972,0.2624360172063532,0.053777269873698505,0.09502524722059123,0.16247843082495497,0.26385273009565674,0.054150274822387726,0.09565543016427158,0.1634751395716254,0.265274340197725,0.04208279979306896,0.0750726021345936,0.1304033776145476,0.21694922013205092,0.04237832347925595,0.07558151542371709,0.1312341561733246,0.21819302237797678
