"id","space_id","device_info_id","created_at","updated_at"
"1353","76","2","18/9/2018 19:10:44","18/9/2018 19:10:44"
"1354","76","10","18/9/2018 19:10:44","18/9/2018 19:10:44"
"1355","76","14","18/9/2018 19:10:44","18/9/2018 19:10:44"
"1356","76","15","18/9/2018 19:10:44","18/9/2018 19:10:44"
"1357","77","2","18/9/2018 19:10:48","18/9/2018 19:10:48"
"1358","77","14","18/9/2018 19:10:48","18/9/2018 19:10:48"
"1359","77","15","18/9/2018 19:10:48","18/9/2018 19:10:48"
"1360","78","2","18/9/2018 19:10:51","18/9/2018 19:10:51"
"1361","78","10","18/9/2018 19:10:51","18/9/2018 19:10:51"
"1362","78","14","18/9/2018 19:10:51","18/9/2018 19:10:51"
"1363","78","15","18/9/2018 19:10:51","18/9/2018 19:10:51"
"1364","79","2","18/9/2018 19:10:54","18/9/2018 19:10:54"
"1365","79","10","18/9/2018 19:10:54","18/9/2018 19:10:54"
"1366","79","14","18/9/2018 19:10:54","18/9/2018 19:10:54"
"1367","79","15","18/9/2018 19:10:54","18/9/2018 19:10:54"
"1368","80","2","18/9/2018 19:10:58","18/9/2018 19:10:58"
"1369","80","14","18/9/2018 19:10:58","18/9/2018 19:10:58"
"1370","80","15","18/9/2018 19:10:58","18/9/2018 19:10:58"
"1371","81","2","18/9/2018 19:11:00","18/9/2018 19:11:00"
"1372","81","14","18/9/2018 19:11:01","18/9/2018 19:11:01"
"1373","81","15","18/9/2018 19:11:01","18/9/2018 19:11:01"
"1374","82","2","18/9/2018 19:11:04","18/9/2018 19:11:04"
"1375","82","10","18/9/2018 19:11:04","18/9/2018 19:11:04"
"1376","82","14","18/9/2018 19:11:04","18/9/2018 19:11:04"
"1377","82","15","18/9/2018 19:11:04","18/9/2018 19:11:04"
"1378","83","2","18/9/2018 19:11:07","18/9/2018 19:11:07"
"1379","83","10","18/9/2018 19:11:07","18/9/2018 19:11:07"
"1380","83","14","18/9/2018 19:11:07","18/9/2018 19:11:07"
"1381","83","15","18/9/2018 19:11:07","18/9/2018 19:11:07"
"1382","84","2","18/9/2018 19:11:10","18/9/2018 19:11:10"
"1383","84","14","18/9/2018 19:11:10","18/9/2018 19:11:10"
"1384","84","15","18/9/2018 19:11:10","18/9/2018 19:11:10"
