id,order_id,space_id,score,can,comment,created_at,updated_at,activity,is_pay,people
3498,105192,102,9,1,本來有點擔心隔音不好，不過當天可能隔壁沒人，環境很安靜也很乾淨，網路很順。,06APR19:18:46:53,06APR19:18:46:53,18,0,1
3499,105343,24,8,1,,06APR19:21:25:15,06APR19:21:25:15,6,1,7
3500,105343,24,8,1,,06APR19:21:25:17,06APR19:21:25:17,6,1,7
3501,103611,23,8,1,,07APR19:17:13:20,07APR19:17:13:20,7,0,2
3502,105645,127,10,1,,07APR19:19:13:53,07APR19:19:13:53,14,0,9
3503,105324,11,8,0,環境很雅緻，但是隔音不是很理想，門外便可以聽到內部聲音，或許可以提供幾間有隔音效果的房間可供使用。,07APR19:19:39:50,07APR19:19:39:50,1,0,4
3504,105681,9,6,1,希望能加裝窗簾 不然對中低階的投影器材使用上有點吃力...QQ,08APR19:06:24:27,08APR19:06:24:27,2,0,4
3505,100494,78,8,0,,08APR19:12:12:35,08APR19:12:12:35,1,0,6
3506,105416,152,3,1,大馬路旁車輛聲音太過吵雜,08APR19:12:34:07,08APR19:12:34:07,6,0,2
3507,91000,136,9,1,,08APR19:17:26:36,08APR19:17:26:36,6,0,20
3508,105562,22,10,1,乾淨舒適明亮,08APR19:18:43:04,08APR19:18:43:04,3,0,8
3509,105134,138,10,0,,08APR19:22:46:36,08APR19:22:46:36,7,0,10
3510,105228,88,10,1,溫馨的空間 小眾慶生很適合..像在自己家一樣,09APR19:08:40:47,09APR19:08:40:47,2,0,2
3511,97938,62,8,1,室內有一股味道，建議可以在沒有使用的時間將對外窗打開通風。..冷氣怪怪的，不容易調到舒適的溫度，要不是很冷，就是很熱，建議可以再檢查看看..其他的都很好,09APR19:09:06:19,09APR19:09:06:19,7,1,4
3512,49689,3,9,1,,09APR19:11:15:04,09APR19:11:15:04,7,1,5
3513,99852,105,9,0,,09APR19:17:34:47,09APR19:17:34:47,14,0,6
3514,100478,153,3,1,,09APR19:19:01:27,09APR19:19:01:27,1,0,7
3515,105499,156,10,1,,09APR19:20:26:25,09APR19:20:26:25,18,0,1
3516,104947,153,8,1,,09APR19:20:29:30,09APR19:20:29:30,7,0,5
3517,106345,25,10,1,場地寬敞舒適，進一樓大門時要稍微看一下說明比較好。,10APR19:00:18:27,10APR19:00:18:27,7,0,15
3518,82180,72,10,1,非常好\,10APR19:00:19:23,10APR19:00:19:23,7,0,5
3519,105912,6,10,1,場大寬敞適合授課,10APR19:00:20:35,10APR19:00:20:35,7,0,10
3520,105018,82,10,1,離捷運站近非常方便,10APR19:00:23:00,10APR19:00:23:00,7,0,8
3521,103362,156,8,1,,10APR19:10:33:13,10APR19:10:33:13,3,0,2
3522,105109,24,10,1,希望有更多居家的小樹屋可以選擇?,10APR19:11:56:49,10APR19:11:56:49,14,0,4
3523,105995,150,6,0,希望能想辦法處理下室內過重的油漆味?,10APR19:18:36:10,10APR19:18:36:10,7,0,5
